,Year,Organization,Recipient,Amount,Description
259,2022,Open Philanthropy,Fish Welfare Initiative,250000.0,Fish Welfare Initiative — Fish Welfare in India
260,2022,Open Philanthropy,Humane Society of the United States,250000.0,Humane Society of the United States — California Prop 12 Legal Defense
261,2022,EA Animal Welfare Fund,Equalia,250000.0,General support for 15 months to extend expiring staff contracts and hire new key positions
262,2022,EA Animal Welfare Fund,Rethink Priorities,250000.0,Support for our wild animal welfare and invertebrate welfare research for a year: nine staff members at a total of 6.18 FTE
263,2022,Open Philanthropy,Produtor do Bem,228068.0,Produtor do Bem Certificação — Farm Animal Welfare Certification in Brazil
264,2022,Open Philanthropy,Animal Nepal,224000.0,Animal Nepal — Farm Animal Welfare
265,2022,Open Philanthropy,Focus Philanthropy,220000.0,Focus Philanthropy — Farm Animal Welfare Fundraising
266,2022,EA Animal Welfare Fund,"Shrimp Welfare Project, Ltd",210000.0,"SWP works with stakeholders to reduce the suffering of farmed shrimps, with a focus on India and Southeast Asia"
267,2022,Open Philanthropy,,200000.0,Andrea Gunn & David Coman-Hidy — New Farmed Animal Welfare Support Organization
268,2022,EA Animal Welfare Fund,Aquatic Life Institute,200000.0,12 months of operational funding to build capacity and strengthen the global impact of the  Aquatic Animal Alliance
269,2022,EA Animal Welfare Fund,Anima International,200000.0,Campaign budget to pressure Lidl and other retailers to produce broiler welfare policies in Europe
270,2022,EA Animal Welfare Fund,Effective Altruism Singapore,185000.0,1-year funding to continue the capacity-building work through the pilot Southeast Asia Farm Animal Welfare Fellowship
271,2022,Open Philanthropy,Compassion in World Farming,170000.0,Compassion in World Farming — Regranting for Farm Animal Welfare in Asia
272,2022,EA Animal Welfare Fund,Fish Welfare Initiative,170000.0,"Fund ~40% of FWI’s general operating budget for 2022, mostly to expand our producer/corporate/policy work in India"
273,2022,Open Philanthropy,Korean Animal Welfare Association,160000.0,Korean Animal Welfare Association — Cage-Free Campaigns (2022)
274,2022,EA Animal Welfare Fund,Animal Charity Evaluators (ACE),160000.0,Funding 10% of 2022-2023 operating budget to support expanded globally-distributed team
275,2022,EA Animal Welfare Fund,Animal Law Italia (ALI),159000.0,A 2-year plan to advance the legal protection of decapod crustaceans in Italy
276,2022,EA Animal Welfare Fund,Sinergia Animal,157000.0,"1-year funding for movement building, corporate and cage-free campaigns in Latin America and Asia, and support roles"
277,2022,Open Philanthropy,Asociación para el Rescate y Bienestar de los Animales,156400.0,Asociación para el Rescate y Bienestar de los Animales — Farm Animal Welfare in Peru 
278,2022,Open Philanthropy,Animal & Vegan Advocacy Summit,150000.0,Animal & Vegan Advocacy Summit — Travel Scholarships (2023 Summit)
279,2022,Open Philanthropy,Scarlet Spark,150000.0,Scarlet Spark — Animal Welfare Management Coaching
280,2022,Open Philanthropy,Aquatic Life Institute,150000.0,Aquatic Life Institute — Aquatic Animal Welfare
281,2022,Open Philanthropy,Animal Law Foundation,140796.0,Animal Law Foundation — Farm Animal Welfare Legal Work
282,2022,EA Animal Welfare Fund,(Anonymous),132000.0,Annual expenditure for a college food literacy program and related events on Animal Welfare advocacy and Alt. Protein
283,2022,Open Philanthropy,Animal Ask,130000.0,Animal Ask — General Support
284,2022,EA Animal Welfare Fund,Cambridge Effective Altruism CIC,130000.0,12-month funding for Cambridge EA's alt-protein field-building efforts
285,2022,Open Philanthropy,Animal Outlook,125000.0,Animal Outlook — Animal Welfare Investigation
286,2022,EA Animal Welfare Fund,(Anonymous),118930.0,"Continuation of farm animal welfare project in Russia, Modern Ferma (3rd year)"
287,2022,Open Philanthropy,Crate-Free Illinois,117600.0,Crate Free Illinois — Crate-Free Campaigns
288,2022,Open Philanthropy,,106810.0,Cara Wilcox — Broiler Chicken Research
289,2022,EA Animal Welfare Fund,Africa Network for Animal Welfare,105000.0,Engage in campaigns against battery cages in East Africa and researching the state of caged chicken farming in West Africa.
290,2022,Animal Charity Evaluators,Faunalytics,104858.0,Recommended Charity Fund
291,2022,Animal Charity Evaluators,The Good Food Institute,104858.0,Recommended Charity Fund
292,2022,Animal Charity Evaluators,The Humane League,104858.0,Recommended Charity Fund
293,2022,Animal Charity Evaluators,Wild Animal Initiative,104858.0,Recommended Charity Fund
294,2022,Open Philanthropy,Dharma Voices for Animals,101000.0,Dharma Voices for Animals — Sri Lanka Animal Welfare Legislation (2022)
295,2022,Open Philanthropy,Animal & Vegan Advocacy Summit,100000.0,Animal & Vegan Advocacy Summit — Conference Scholarships
296,2022,Open Philanthropy,Aquatic Life Institute,100000.0,Aquatic Life Institute — General Support
297,2022,Open Philanthropy,People for Animals Uttarakhand,100000.0,People For Animals Uttarakhand — Farm Animal Welfare Fellowship (2022)
298,2022,EA Animal Welfare Fund,Asia Research & Engagement,100000.0,1-year salary: China hire to directly leverage US$3tn investor AUM to impact listed company animal welfare practices
299,2022,EA Animal Welfare Fund,Africa Network for Animal Welfare,100000.0,"Establish status of battery cage farming in 3 Southern Africa countries,campaigns in E.Africa and conference in W.Africa"
300,2022,EA Animal Welfare Fund,Voters For Animal Rights,100000.0,12-month salary to protect the foie gras ban and advance legislation to protect aquatic & fur animals in NYC
301,2022,EA Animal Welfare Fund,Animal Alliance Asia,100000.0,Costs to continue and expand culture-specific workshops for advocates to increase efficacy across Asia.
302,2022,EA Animal Welfare Fund,(Anonymous),100000.0,"Launch lobbying, investor and producer campaigns in insect farming, and slow the growth of the sector"
303,2022,EA Animal Welfare Fund,Çiftlik Hayvanlarını Koruma Derneği (Farm Animals Protection Association),100000.0,12-month salary for new hires and other costs to increase capacity for cage-free campaigns and fish welfare outreach
304,2022,EA Animal Welfare Fund,CellAg Germany,98000.0,1-year salary for a general manager of CellAg Germany to accelerate cellular agriculture through policy work & services
305,2022,EA Animal Welfare Fund,(Anonymous),97000.0,12-month FT salary for hiring a Fundraising and Operations Lead and a three-month research fellowship program
306,2022,EA Animal Welfare Fund,Eurogroup for Animals,96000.0,"Funding staff to hinder EU deregulation on insect farming by researching, coordinating, and lobbying."
307,2022,EA Animal Welfare Fund,Animal Equality UK,91000.0,"Urge policymakers to enact laws for farmed fish at slaughter through movement building, lobbying and public education"
308,2022,Animal Charity Evaluators,Faunalytics,90571.0,Recommended Charity Fund
309,2022,Animal Charity Evaluators,The Humane League,90571.0,Recommended Charity Fund
310,2022,Animal Charity Evaluators,Wild Animal Initiative,90571.0,Recommended Charity Fund
311,2022,EA Animal Welfare Fund,Veganuary,90000.0,2-year salary and on-costs of a Corporate Engagement Manager for Veganuary in Latin America
312,2022,EA Animal Welfare Fund,Expertise for Animals,90000.0,12-month salaries to strengthen animal advocacy by creating content and carrying out pro bono work for organizations
313,2022,EA Animal Welfare Fund,Ethical Seafood Research,90000.0,Developing and refining species-specific welfare indicators for Nile tilapia reared in divergent production systems
314,2022,EA Animal Welfare Fund,Vegetarian Society of Denmark,90000.0,12-month salary support securing government funding for (quality) plant-based R&D and international best practice-sharing
315,2022,EA Animal Welfare Fund,Australian Alliance for Animals,87000.0,Funding for a new organisation to unite the Australian animal protection sector to increase its influence and impact
316,2022,EA Animal Welfare Fund,Rethink Priorities,85000.0,"A 3-day forum to connect, coordinate, and strategize for the EAA movement"
317,2022,EA Animal Welfare Fund,Pia Voltz,83000.0,6-12 months of salary & set-up costs for a new organisation supporting the alternative protein industry with its talent bottleneck
318,2022,EA Animal Welfare Fund,Animal Advocacy Careers,80000.0,Funding for a 3 month FTE fundraising work placement for 8 fundraising professionals to be placed in Effective Animal Advocacy organisations
319,2022,EA Animal Welfare Fund,Aquatic Life Institute,80000.0,Build capacity and strengthen the effectiveness for the Aquatic Animal Alliance’s current and future work
320,2022,EA Animal Welfare Fund,Aquatic Life Institute,80000.0,Salaries for existing positions and to fund a new position
321,2022,EA Animal Welfare Fund,Aquatic Life Institute,80000.0,Build capacity and a knowledge base for the Aquatic Animal Alliance’s future corporate work
322,2022,EA Animal Welfare Fund,Legal Impact for Chickens,76000.0,"Growing the new litigation nonprofit, Legal Impact for Chickens (LIC), to make factory-farm cruelty a liability"
323,2022,EA Animal Welfare Fund,Animal Advocacy Careers,75000.0,Funding to cover ~25% of annual budget for existing staff salaries and scaling one of our most cost-effective programmes
324,2022,EA Animal Welfare Fund,Animal welfare competence center for Africa,75000.0,1-year operational costs for government outreach to stop or slow the growth of industrial animal agriculture in Uganda
325,2022,EA Animal Welfare Fund,Humánny pokrok,75000.0,Capacity building for animal advocacy in Slovakia and carp welfare campaign expansion
326,2022,EA Animal Welfare Fund,The Humane League UK (THL UK),70000.0,"1 year salary x 2 roles: actions for farmed fish, caged hens & broiler chicken welfare'"
327,2022,EA Animal Welfare Fund,Sentient Media,66000.0,12-month project providing digital marketing/training/content production to an EAA-aligned high-impact welfare group
328,2022,EA Animal Welfare Fund,Sentient Media,66000.0,12-month project providing training for farmed animal advocate writers in neglected geographies and groups
329,2022,EA Animal Welfare Fund,Animal Advocacy Africa,66000.0,6-month salary to help African animal advocacy organisations with fundraising and to pilot this intervention in Asia
330,2022,EA Animal Welfare Fund,Rethink Priorities,64000.0,Empirically determine diets for farmed adult Black Soldier Flies that maximize welfare and guide industry best practices
331,2022,EA Animal Welfare Fund,Eurogroup for Animals,63000.0,Developing a long term plan for Europe’s animal advocacy movement to counter the growth of insect farming
332,2022,EA Animal Welfare Fund,(Anonymous),63000.0,Launching Aquatic Animal Welfare movement in Asia
333,2022,EA Animal Welfare Fund,Shannon Campion,63000.0,Funding to advise the AR movement on advocacy and develop a plan to build greater political power
334,2022,EA Animal Welfare Fund,Kate Verdalyn Lupango,59000.0,"Strengthening the farm animal advocacy in the Philippines by building community, capacity, and relationships"
335,2022,EA Animal Welfare Fund,Crustacean Compassion,59000.0,Grant for a policy expert to deliver public affairs campaigns for decapod crustacean protections
336,2022,Animal Charity Evaluators,Çiftlik Hayvanlarını Koruma Derneği,57088.0,Recommended Charity Fund
337,2022,Animal Charity Evaluators,Compassion in World Farming USA,57088.0,Recommended Charity Fund
338,2022,Animal Charity Evaluators,Dansk Vegetarisk Forening,57088.0,Recommended Charity Fund
339,2022,Animal Charity Evaluators,Dharma Voices for Animals,57088.0,Recommended Charity Fund
340,2022,Animal Charity Evaluators,Federation of Indian Protection Organisations,57088.0,Recommended Charity Fund
341,2022,Animal Charity Evaluators,Fish Welfare Initiative,57088.0,Recommended Charity Fund
342,2022,Animal Charity Evaluators,Material Innovation Initiative,57088.0,Recommended Charity Fund
343,2022,Animal Charity Evaluators,Mercy For Animals,57088.0,Recommended Charity Fund
344,2022,Animal Charity Evaluators,New Harvest,57088.0,Recommended Charity Fund
345,2022,Animal Charity Evaluators,Sinergia Animal,57088.0,Recommended Charity Fund
346,2022,Animal Charity Evaluators,xiaobuVEGAN,57088.0,Recommended Charity Fund
347,2022,EA Animal Welfare Fund,The Animal Law Foundation,54000.0,Cost for legal charity to research neglected areas of animal law and bring high impact legal actions
348,2022,Open Philanthropy,Breakthrough Institute,50000.0,Breakthrough Institute — Research on Plant-Based Meat Consumption
349,2022,EA Animal Welfare Fund,Fórum Nacional de Proteção e Defesa Animal,50000.0,Animal Welfare in Public purchases and Legal requirements
350,2022,EA Animal Welfare Fund,Healthier Hens,50000.0,Healthier Hens' operations towards dietary interventions to improve layer hen welfare via keel bone fracture reduction
351,2022,EA Animal Welfare Fund,Australian Alliance for Animals,50000.0,1-year funding for a new organisation to unite the Australian animal protection sector to increase its political influence
352,2022,EA Animal Welfare Fund,Sống Thuần Chay (STC),50000.0,Operational expenses to hire a corporate outreach manager and support staff for our vegan advocacy campaigns
353,2022,EA Animal Welfare Fund,Dyrenes Alliance,50000.0,12-month salary to set up a new campaign focused on fish in addition to funding advertisements and printed materials
354,2022,Animal Charity Evaluators,Animal Advocacy Africa,50000.0,Movement Grants
355,2022,Animal Charity Evaluators,Catalyst co. Ltd.,50000.0,Movement Grants
356,2022,Animal Charity Evaluators,TransfarmAg LLC,48000.0,Movement Grants
357,2022,EA Animal Welfare Fund,(Anonymous),46000.0,PT salary for building FAW/AP research organisation and supporting FAW/AP research and community building in Asia
358,2022,EA Animal Welfare Fund,Shrimp Welfare Project (a project of Charity Entrepreneurship operating through a fiscal sponsorship with Players Philanthropy Fund),45000.0,General support to work with farmers and the rest of the supply chain in India and Vietnam to improve farmed shrimp welfare
359,2022,Animal Charity Evaluators,Insect Welfare Project,45000.0,Movement Grants
360,2022,Animal Charity Evaluators,Samayu,45000.0,Movement Grants
361,2022,Open Philanthropy,Faunalytics,44200.0,Faunalytics — KPI Dashboards for Farm Animal Welfare
362,2022,Animal Charity Evaluators,Cellular Agriculture Australia Ltd,44000.0,Movement Grants
363,2022,EA Animal Welfare Fund,Humánny pokrok,43000.0,Capacity building and community engagement in Slovak animal advocacy movement
364,2022,Open Philanthropy,Rethink Priorities,40000.0,Rethink Priorities — Dimensions of Welfare Workshop
365,2022,EA Animal Welfare Fund,(Anonymous),40000.0,6-month salary to support video creation on EA and the welfare of farmed and wild animals
366,2022,EA Animal Welfare Fund,Effective Altruism Singapore,40000.0,A 3-day farmed animal advocacy retreat for those working in Southeast Asia to connect and strengthen the community
367,2022,EA Animal Welfare Fund,Campaigns and Activism for Animals in the Industry (CAAI),40000.0,12-month salaries and expenses to advocate for two bans in Bulgaria: fur farming and force-feeding of waterfowl
368,2022,EA Animal Welfare Fund,One Health and Development Initiative (OHDI),40000.0,"Promoting awareness, knowledge, and capacity building of Nigerian fish farmers on implementing fish welfare practices"
369,2022,EA Animal Welfare Fund,The Philippine Animal Welfare Society (PAWS),40000.0,Setting up of 6-month face-to-face and online seminars on more humane farming methods for pigs and chicken
370,2022,EA Animal Welfare Fund,Healthier Hens,40000.0,Research to test the efficacy of two promising interventions to reduce the rate of keel bone fractures in laying hens
371,2022,EA Animal Welfare Fund,Cameron Semper,40000.0,Research funding to explore biosynthetic alternatives for the production of carminic acid and kermesic acid.
372,2022,Animal Charity Evaluators,Humánny Pokrok,40000.0,Movement Grants
373,2022,Animal Charity Evaluators,Middle East Vegan Society,40000.0,Movement Grants
374,2022,Animal Charity Evaluators,Shrimp Welfare Project,40000.0,Movement Grants
375,2022,EA Animal Welfare Fund,Igualdad Animal Mexico,39000.0,Research about aquaculture in Mexico and fish welfare to work on legislation to mandate stunning prior to slaughter
376,2022,Open Philanthropy,Constitutional Accountability Center,37123.0,Constitutional Accountability Center — California Prop 12 Legal Defense
377,2022,EA Animal Welfare Fund,Animal Advocacy Careers,36000.0,Three months of funding for staff salaries and general operating costs while we separate from our fiscal sponsor
378,2022,EA Animal Welfare Fund,Arba,35000.0,Salaries for 2 full time economists and development of three surveys for one year
379,2022,EA Animal Welfare Fund,DC Voters for Animals,35000.0,Annual salary for DC Voters for Animals ED to pass animal protection laws in Washington D.C.
380,2022,Animal Charity Evaluators,Brigada Animal México,35000.0,Movement Grants
381,2022,Animal Charity Evaluators,Fundación Derecho y Defensa Animal,35000.0,Movement Grants
382,2022,Animal Charity Evaluators,One Health and Development Initiative,35000.0,Movement Grants
383,2022,EA Animal Welfare Fund,Kate Verdalyn Lupango,33000.0,Additional 1.22  FTE funding to increase our community building work and support FAW projects in the Philippines
384,2022,Open Philanthropy,,32610.0,Pru Elliott — Corporate Campaign Coaching
385,2022,Animal Charity Evaluators,Anima International,31351.0,Recommended Charity Fund
386,2022,Animal Charity Evaluators,Compassion in World Farming USA,31351.0,Recommended Charity Fund
387,2022,Animal Charity Evaluators,Dharma Voices for Animals,31351.0,Recommended Charity Fund
388,2022,Animal Charity Evaluators,Essere Animali,31351.0,Recommended Charity Fund
389,2022,Animal Charity Evaluators,Material Innovation Initiative,31351.0,Recommended Charity Fund
390,2022,Animal Charity Evaluators,Mercy For Animals,31351.0,Recommended Charity Fund
391,2022,Animal Charity Evaluators,New Harvest,31351.0,Recommended Charity Fund
392,2022,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),31351.0,Recommended Charity Fund
393,2022,Animal Charity Evaluators,Sinergia Animal,31351.0,Recommended Charity Fund
394,2022,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,31351.0,Recommended Charity Fund
395,2022,Animal Charity Evaluators,Standout Charity working in China1,31351.0,Recommended Charity Fund
396,2022,Animal Charity Evaluators,Vegetarianos Hoy,31351.0,Recommended Charity Fund
397,2022,Animal Charity Evaluators,xiaobuVEGAN,31351.0,Recommended Charity Fund
398,2022,EA Animal Welfare Fund,Utunzi Animal Welfare Organization,31000.0,A comprehensive cage-free farming educational and awareness project targeting layer hen farmers in four counties in Kenya
399,2022,Open Philanthropy,,30000.0,Dami Animashaun — California Prop 12 Legal Defense
400,2022,EA Animal Welfare Fund,Sentient (Nonprofit Organization),30000.0,"Spread global use of disposable cellular cameras put on animals on the way to slaughter, enabling a personal narrative"
401,2022,EA Animal Welfare Fund,(Anonymous),30000.0,12-month salary for the director of an animal welfare organisation and contingency costs
402,2022,EA Animal Welfare Fund,Institute of Animal Law of Asia,30000.0,1-year fees and salary for an educational center for research & info on the farmed animal law & policy issues in Asia
403,2022,Animal Charity Evaluators,Agriculture Cellulaire France,30000.0,Movement Grants
404,2022,Animal Charity Evaluators,Amis de l’Afrique Francophone – Bénin,30000.0,Movement Grants
405,2022,Animal Charity Evaluators,AnimaNaturalis,30000.0,Movement Grants
406,2022,Animal Charity Evaluators,Black Veg Society,30000.0,Movement Grants
407,2022,EA Animal Welfare Fund,The European Institute for Animal Law & Policy,29000.0,"3-month salaries for a senior legal and policy researcher, and an intern to deliver two reports"
408,2022,Animal Charity Evaluators,Dansk Vegetarisk Forening,29000.0,Movement Grants
409,2022,Animal Charity Evaluators,World Day for the End of Fishing,29000.0,Movement Grants
410,2022,EA Animal Welfare Fund,"FAADA, Foundation for Advice and Action in the Defence of Animals",27000.0,Improved welfare standards for crustaceans in supermarkets (where kept alive) and restaurants (where boiled alive)
411,2022,EA Animal Welfare Fund,We Animals Media (WAM),26000.0,"Funding to cover photojournalism work in Africa, Asia and/or Latin America throughout 2022-2023."
412,2022,EA Animal Welfare Fund,Animal Advocates International,25000.0,"Raising Animal Welfare Standards in Poultry Farming Industry Through Campaigns, Conferences, Trainings & Leg"
413,2022,Animal Charity Evaluators,Sentience,25000.0,Movement Grants
414,2022,Animal Charity Evaluators,Viešoji įstaiga “Gyvi gali”,25000.0,Movement Grants
415,2022,EA Animal Welfare Fund,Tanzania Animal Welfare Society (TAWESO),22000.0,Additional costs to conduct a survey on farmed fish welfare in Tanzania aiming at inclusion in the fisheries policy
416,2022,EA Animal Welfare Fund,Vegan Network Uganda trading as Uganda Vegan Society,20000.0,Advocacy to reduce cruelty towards battery caged hens through promotion of plant based alternatives
417,2022,EA Animal Welfare Fund,Animal Welfare League,20000.0,12-month budget support to a new org for a nationwide cage-free campaign to end abuse of 25 million chickens in cages
418,2022,EA Animal Welfare Fund,George Stiffman,20000.0,3-month salaries for a restaurant partnership to validate “cuisine expansion” as a new FAW intervention
419,2022,EA Animal Welfare Fund,Education for African Animals Welfare (EAAW),20000.0,"In this second phase, we shall strengthen cage-free information packaging and sharing with the general public"
420,2022,Animal Charity Evaluators,Convergence Animaux Politique,20000.0,Movement Grants
421,2022,Animal Charity Evaluators,Dzīvnieku brīvība,20000.0,Movement Grants
422,2022,Animal Charity Evaluators,Rethink Your Food Inc,20000.0,Movement Grants
423,2022,Animal Charity Evaluators,The Modern Agriculture Foundation,20000.0,Movement Grants
424,2022,EA Animal Welfare Fund,Nature Imvelo Trust,17000.0,A 6-month to one-year campaign on the effects of battery cages on laying hens and egg production
425,2022,Open Philanthropy,Commonwealth Veterinary Association,15000.0,Commonwealth Veterinary Association — Animal Welfare Training (2022)
426,2022,EA Animal Welfare Fund,George Stiffman,15000.0,"4-month salary to create a roadmap to grow the US tofu market, tofu community build, and raise tofu venture funding"
427,2022,EA Animal Welfare Fund,(Anonymous),15000.0,Raise awareness of farm animal welfare and law in Asia
428,2022,EA Animal Welfare Fund,Animal Ask,15000.0,Completing focused research to assist the farmed animal welfare movement with the prioritisation of their campaigns
429,2022,Animal Charity Evaluators,Asociatia FREE,15000.0,Movement Grants
430,2022,Animal Charity Evaluators,Quality Life without Borders,14000.0,Movement Grants
431,2022,Animal Charity Evaluators,Sibanye Animal Welfare and Conservancy Trust,13500.0,Movement Grants
432,2022,EA Animal Welfare Fund,Utunzi Animal Welfare Organization,13000.0,A comprehensive cage free training and sensitization program for beneficiaroes of our ongoing cage free proje
433,2022,EA Animal Welfare Fund,George Stiffman,11000.0,4-month salary to create infrastructure and raise funding for a tofu import business
434,2022,EA Animal Welfare Fund,Vegan Hacktivists,11000.0,A study to assess tech and data in the animal protection movement and present opportunities and recommendations
435,2022,EA Animal Welfare Fund,Animal Friends Jogja (Perkumpulan Sahabat Satwa Jogja),10000.0,A 12 month salary and expenses for a government advocacy coordinator to continue work on Cage Free/FA legislative change
436,2022,EA Animal Welfare Fund,Education for African Animal Welfare,10000.0,The workshop will impact local and international journalists in Tanzania with cage free movement information
437,2022,EA Animal Welfare Fund,Animal Advocates International,10000.0,"Raising animal welfare standards in poultry farming industry through campaigns, conferences, trainings, and legislation"
438,2022,Animal Charity Evaluators,"DC Voters for Animals, Inc",10000.0,Movement Grants
439,2022,Animal Charity Evaluators,Eduquons Autrement,10000.0,Movement Grants
440,2022,EA Animal Welfare Fund,Asher Soryl,9000.0,6-8 months of funding to complete my doctoral dissertation & publish academic papers based based on its chapters
441,2022,Animal Charity Evaluators,Vegan Derneği Turkiye,8500.0,Movement Grants
442,2022,Animal Charity Evaluators,Césama,8000.0,Movement Grants
443,2022,Animal Charity Evaluators,Viral Vegans,8000.0,Movement Grants
444,2022,Animal Charity Evaluators,Nurture Imvelo Trust,7000.0,Movement Grants
445,2022,Animal Charity Evaluators,NALSAR University of Law,6000.0,Movement Grants
446,2022,EA Animal Welfare Fund,Faunalytics,5000.0,"Funds to produce new resources on neglected species, including a Faunalytics Fundamental infographic on Invertebrates"
447,2022,EA Animal Welfare Fund,The Modern Agriculture Foundation,5000.0,"2nd cohort of alt. proteins accelerator to speed up the success of 5-7 startups, and run a cost-effectiveness analysis"
448,2022,Animal Charity Evaluators,Shangano Arts Trust,5000.0,Movement Grants
449,2021,Open Philanthropy,The Good Food Institute,10000000.0,The Good Food Institute — General Support (2021)
450,2021,Open Philanthropy,The Humane League,7000000.0,The Humane League — General Support (2021)
451,2021,Open Philanthropy,Compassion in World Farming,5055105.0,Compassion in World Farming — Fish Welfare and Efforts to End Cages (2021)
452,2021,Open Philanthropy,Plant Based Foods Association,3500000.0,Plant Based Foods Association — General Support (2021)
453,2021,Open Philanthropy,Wild Animal Initiative,3500000.0,Wild Animal Initiative — Animal Welfare Research
454,2021,Open Philanthropy,Albert Schweitzer Foundation,3000000.0,Albert Schweitzer Foundation — General Support (2021)
455,2021,Open Philanthropy,Foundation for Food and Agriculture Research,3000000.0,Food and Agriculture Research — Keel Bone Damage Reduction
456,2021,Open Philanthropy,Animal Equality,3000000.0,Animal Equality — Cage-Free and Broiler Welfare (2021)
457,2021,Open Philanthropy,Mercy For Animals,3000000.0,Mercy for Animals — Corporate Campaigns (2021)
458,2021,Open Philanthropy,fair-fish international association,2672830.0,fair-fish international association — Wild-Caught Fish Welfare Standards
459,2021,Open Philanthropy,Rethink Priorities,2000000.0,Rethink Priorities — Farm Animal Welfare Research (2021)
460,2021,Open Philanthropy,Environment & Animal Society of Taiwan,1345000.0,Environment & Animal Society of Taiwan — Farm Animal Welfare in Taiwan (2021)
461,2021,Open Philanthropy,Wakker Dier,1215000.0,Wakker Dier — Farm Animal Welfare Litigation
462,2021,Open Philanthropy,Eurogroup for Animals,1190000.0,Eurogroup for Animals — Fish Welfare (2021)
463,2021,Open Philanthropy,"University of California, Berkeley",1146201.0,UC Berkeley — Alternative Meats Lab (2021)
464,2021,Open Philanthropy,Equalia,817000.0,Equalia — General Support
465,2021,Open Philanthropy,Crustacean Compassion,786830.0,Crustacean Compassion — General Support
466,2021,Open Philanthropy,Farmed Animal Funders,750000.0,Farmed Animal Funders — Regranting for Farm Animal Welfare in Europe
467,2021,Open Philanthropy,Animal Charity Evaluators,700000.0,Animal Charity Evaluators — General Support (2021)
468,2021,Open Philanthropy,Humane Society International,650000.0,Humane Society International — Farm Animal Welfare in Southeast Asia and Latin America
469,2021,Open Philanthropy,Dyrevernalliansen (The Norwegian Animal Protection Alliance),568893.0,Dyrevernalliansen — Wild-Caught Fish Welfare Research
470,2021,Open Philanthropy,Compassion in World Farming USA,550000.0,Compassion in World Farming USA — General Support (2021)
471,2021,Open Philanthropy,Wageningen University & Research,519434.0,Wageningen University & Research — Wild-Caught Fish Welfare
472,2021,Open Philanthropy,Changing Markets Foundation,500000.0,Changing Markets Foundation — Fish Welfare Retail Campaigns
473,2021,Open Philanthropy,The Guardian,450000.0,theguardian.org – Journalism on Factory Farming and Animal Cruelty (2021)
474,2021,Open Philanthropy,Animal Kingdom Foundation,365700.0,Animal Kingdom Foundation — Layer Hen Welfare in the Philippines (2021)
475,2021,Open Philanthropy,"Lead for Farmed Animals,Rethink Charity",352700.0,Lead for Farmed Animals — Movement-Building Workshop
476,2021,Open Philanthropy,Rethink Priorities,315500.0,Rethink Priorities — Moral Patienthood and Moral Weight Research
477,2021,EA Animal Welfare Fund,Rethink Priorities,309100.0,Support for four researchers (including one new hire) on wild animal and invertebrate welfare for an entire year
478,2021,Open Philanthropy,Dyrevernalliansen (The Norwegian Animal Protection Alliance),300000.0,Dyrevernalliansen — Fish Welfare (2021)
479,2021,EA Animal Welfare Fund,Wild Animal Initiative,300000.0,47% of 2021 payroll costs and operating expenses to build an academic field dedicated to wild animal welfare
480,2021,Open Philanthropy,Sinergia Animal,291500.0,Sinergia Animal — Animal Welfare in Southeast Asia (2021)
481,2021,Open Philanthropy,Animal Protection Denmark,283000.0,Animal Protection Denmark — Wild-Caught Fish Welfare
482,2021,Animal Charity Evaluators,Faunalytics,269293.6,Recommended Charity Fund
483,2021,Animal Charity Evaluators,The Humane League,269293.6,Recommended Charity Fund
484,2021,Animal Charity Evaluators,Wild Animal Initiative,269293.6,Recommended Charity Fund
485,2021,Open Philanthropy,"Animal Welfare Awareness, Research, and Education",267723.0,"Animal Welfare Awareness, Research, and Education — Pig Welfare Reforms"
486,2021,Open Philanthropy,Charity Entrepreneurship,247500.0,Charity Entrepreneurship — Development of New Animal Welfare Charities (2021)
487,2021,Open Philanthropy,Institute of Agrifood Research and Technology,237043.0,Institute of Agrifood Research and Technology — Fish Welfare Certification Standards
488,2021,Open Philanthropy,Vegan Women Summit,200000.0,Vegan Women Summit — General Support (2021)
489,2021,Open Philanthropy,Reducetarian Foundation,200000.0,Reducetarian Foundation — Reducetarian Fellowship
490,2021,EA Animal Welfare Fund,Equalia,190000.0,12-month salaries for three new positions and a contract extension to increase the capacity of Equalia
491,2021,EA Animal Welfare Fund,Sinergia Animal,165000.0,"Support for institutional meat reduction, cage-free egg campaigns, and investigations"
492,2021,Open Philanthropy,Anima International,152000.0,Anima International — Farm Animal Welfare Work
493,2021,EA Animal Welfare Fund,(Anonymous),150000.0,Alternative protein advocacy.
494,2021,EA Animal Welfare Fund,Insect Welfare Project (temporary name),134810.0,Launch campaigns targeting investors in insect farming and consider lobbying to slow the growth of the sector
495,2021,EA Animal Welfare Fund,Sentience Politics,125000.0,We leverage direct democracy in the form of a ballot initiative in order to abolish factory farming in Switzerland
496,2021,EA Animal Welfare Fund,The Humane League UK,119387.0,5-month salary for five staff members to gain welfare commitments from companies for laying hens and broilers
497,2021,Open Philanthropy,Sneha’s Care,110050.0,Sneha’s Care — Dairy Welfare Regulations
498,2021,EA Animal Welfare Fund,Animals Aotearoa,103000.0,"Progress the work of Animals Aotearoa, the only NGO working on chicken corporate welfare commitments in New Zealand"
499,2021,EA Animal Welfare Fund,(Anonymous),100000.0,Advancing the animal welfare movement in Asia
