Year,Organization,Recipient,Amount,Description
2022,Open Philanthropy,Legal Impact for Chickens,"$300,000.00",Legal Impact for Chickens — Farm Animal Welfare Litigation
2022,Open Philanthropy,New York University,"$300,000.00",New York University — Wild Animal Welfare Program
2022,Open Philanthropy,VegeProject,"$300,000.00",VegeProject — Corporate Outreach (2022)
2022,Open Philanthropy,Certified Humane,"$280,000.00",Certified Humane — PR for Certification System
2022,Open Philanthropy,University of Wisconsin–Madison,"$279,000.00",University of Wisconsin–Madison — Layer Hen Welfare Research
2022,Open Philanthropy,Fish Welfare Initiative,"$250,000.00",Fish Welfare Initiative — Fish Welfare in India
2022,Open Philanthropy,Humane Society of the United States,"$250,000.00",Humane Society of the United States — California Prop 12 Legal Defense
2022,EA Animal Welfare Fund,Equalia,"$250,000.00",General support for 15 months to extend expiring staff contracts and hire new key positions
2022,EA Animal Welfare Fund,Rethink Priorities,"$250,000.00",Support for our wild animal welfare and invertebrate welfare research for a year: nine staff members at a total of 6.18 FTE
2022,Open Philanthropy,Produtor do Bem,"$228,068.00",Produtor do Bem Certificação — Farm Animal Welfare Certification in Brazil
2022,Open Philanthropy,Animal Nepal,"$224,000.00",Animal Nepal — Farm Animal Welfare
2022,Open Philanthropy,Focus Philanthropy,"$220,000.00",Focus Philanthropy — Farm Animal Welfare Fundraising
2022,EA Animal Welfare Fund,"Shrimp Welfare Project, Ltd","$210,000.00","SWP works with stakeholders to reduce the suffering of farmed shrimps, with a focus on India and Southeast Asia"
2022,Open Philanthropy,,"$200,000.00",Andrea Gunn & David Coman-Hidy — New Farmed Animal Welfare Support Organization
2022,EA Animal Welfare Fund,Aquatic Life Institute,"$200,000.00",12 months of operational funding to build capacity and strengthen the global impact of the  Aquatic Animal Alliance
2022,EA Animal Welfare Fund,Anima International,"$200,000.00",Campaign budget to pressure Lidl and other retailers to produce broiler welfare policies in Europe
2022,EA Animal Welfare Fund,Effective Altruism Singapore,"$185,000.00",1-year funding to continue the capacity-building work through the pilot Southeast Asia Farm Animal Welfare Fellowship
2022,Open Philanthropy,Compassion in World Farming,"$170,000.00",Compassion in World Farming — Regranting for Farm Animal Welfare in Asia
2022,EA Animal Welfare Fund,Fish Welfare Initiative,"$170,000.00","Fund ~40% of FWI’s general operating budget for 2022, mostly to expand our producer/corporate/policy work in India"
2022,Open Philanthropy,Korean Animal Welfare Association,"$160,000.00",Korean Animal Welfare Association — Cage-Free Campaigns (2022)
2022,EA Animal Welfare Fund,Animal Charity Evaluators (ACE),"$160,000.00",Funding 10% of 2022-2023 operating budget to support expanded globally-distributed team
2022,EA Animal Welfare Fund,Animal Law Italia (ALI),"$159,000.00",A 2-year plan to advance the legal protection of decapod crustaceans in Italy
2022,EA Animal Welfare Fund,Sinergia Animal,"$157,000.00","1-year funding for movement building, corporate and cage-free campaigns in Latin America and Asia, and support roles"
2022,Open Philanthropy,Asociación para el Rescate y Bienestar de los Animales,"$156,400.00",Asociación para el Rescate y Bienestar de los Animales — Farm Animal Welfare in Peru 
2022,Open Philanthropy,Animal & Vegan Advocacy Summit,"$150,000.00",Animal & Vegan Advocacy Summit — Travel Scholarships (2023 Summit)
2022,Open Philanthropy,Scarlet Spark,"$150,000.00",Scarlet Spark — Animal Welfare Management Coaching
2022,Open Philanthropy,Aquatic Life Institute,"$150,000.00",Aquatic Life Institute — Aquatic Animal Welfare
2022,Open Philanthropy,Animal Law Foundation,"$140,796.00",Animal Law Foundation — Farm Animal Welfare Legal Work
2022,EA Animal Welfare Fund,(Anonymous),"$132,000.00",Annual expenditure for a college food literacy program and related events on Animal Welfare advocacy and Alt. Protein
2022,Open Philanthropy,Animal Ask,"$130,000.00",Animal Ask — General Support
2022,EA Animal Welfare Fund,Cambridge Effective Altruism CIC,"$130,000.00",12-month funding for Cambridge EA's alt-protein field-building efforts
2022,Open Philanthropy,Animal Outlook,"$125,000.00",Animal Outlook — Animal Welfare Investigation
2022,EA Animal Welfare Fund,(Anonymous),"$118,930.00","Continuation of farm animal welfare project in Russia, Modern Ferma (3rd year)"
2022,Open Philanthropy,Crate-Free Illinois,"$117,600.00",Crate Free Illinois — Crate-Free Campaigns
2022,Open Philanthropy,,"$106,810.00",Cara Wilcox — Broiler Chicken Research
2022,EA Animal Welfare Fund,Africa Network for Animal Welfare,"$105,000.00",Engage in campaigns against battery cages in East Africa and researching the state of caged chicken farming in West Africa.
2022,Animal Charity Evaluators,Faunalytics,"$104,858.00",Recommended Charity Fund
2022,Animal Charity Evaluators,The Good Food Institute,"$104,858.00",Recommended Charity Fund
2022,Animal Charity Evaluators,The Humane League,"$104,858.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Wild Animal Initiative,"$104,858.00",Recommended Charity Fund
2022,Open Philanthropy,Dharma Voices for Animals,"$101,000.00",Dharma Voices for Animals — Sri Lanka Animal Welfare Legislation (2022)
2022,Open Philanthropy,Animal & Vegan Advocacy Summit,"$100,000.00",Animal & Vegan Advocacy Summit — Conference Scholarships
2022,Open Philanthropy,Aquatic Life Institute,"$100,000.00",Aquatic Life Institute — General Support
2022,Open Philanthropy,People for Animals Uttarakhand,"$100,000.00",People For Animals Uttarakhand — Farm Animal Welfare Fellowship (2022)
2022,EA Animal Welfare Fund,Asia Research & Engagement,"$100,000.00",1-year salary: China hire to directly leverage US$3tn investor AUM to impact listed company animal welfare practices
2022,EA Animal Welfare Fund,Africa Network for Animal Welfare,"$100,000.00","Establish status of battery cage farming in 3 Southern Africa countries,campaigns in E.Africa and conference in W.Africa"
2022,EA Animal Welfare Fund,Voters For Animal Rights,"$100,000.00",12-month salary to protect the foie gras ban and advance legislation to protect aquatic & fur animals in NYC
2022,EA Animal Welfare Fund,Animal Alliance Asia,"$100,000.00",Costs to continue and expand culture-specific workshops for advocates to increase efficacy across Asia.
2022,EA Animal Welfare Fund,(Anonymous),"$100,000.00","Launch lobbying, investor and producer campaigns in insect farming, and slow the growth of the sector"
2022,EA Animal Welfare Fund,Çiftlik Hayvanlarını Koruma Derneği (Farm Animals Protection Association),"$100,000.00",12-month salary for new hires and other costs to increase capacity for cage-free campaigns and fish welfare outreach
2022,EA Animal Welfare Fund,CellAg Germany,"$98,000.00",1-year salary for a general manager of CellAg Germany to accelerate cellular agriculture through policy work & services
2022,EA Animal Welfare Fund,(Anonymous),"$97,000.00",12-month FT salary for hiring a Fundraising and Operations Lead and a three-month research fellowship program
2022,EA Animal Welfare Fund,Eurogroup for Animals,"$96,000.00","Funding staff to hinder EU deregulation on insect farming by researching, coordinating, and lobbying."
2022,EA Animal Welfare Fund,Animal Equality UK,"$91,000.00","Urge policymakers to enact laws for farmed fish at slaughter through movement building, lobbying and public education"
2022,Animal Charity Evaluators,Faunalytics,"$90,571.00",Recommended Charity Fund
2022,Animal Charity Evaluators,The Humane League,"$90,571.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Wild Animal Initiative,"$90,571.00",Recommended Charity Fund
2022,EA Animal Welfare Fund,Veganuary,"$90,000.00",2-year salary and on-costs of a Corporate Engagement Manager for Veganuary in Latin America
2022,EA Animal Welfare Fund,Expertise for Animals,"$90,000.00",12-month salaries to strengthen animal advocacy by creating content and carrying out pro bono work for organizations
2022,EA Animal Welfare Fund,Ethical Seafood Research,"$90,000.00",Developing and refining species-specific welfare indicators for Nile tilapia reared in divergent production systems
2022,EA Animal Welfare Fund,Vegetarian Society of Denmark,"$90,000.00",12-month salary support securing government funding for (quality) plant-based R&D and international best practice-sharing
2022,EA Animal Welfare Fund,Australian Alliance for Animals,"$87,000.00",Funding for a new organisation to unite the Australian animal protection sector to increase its influence and impact
2022,EA Animal Welfare Fund,Rethink Priorities,"$85,000.00","A 3-day forum to connect, coordinate, and strategize for the EAA movement"
2022,EA Animal Welfare Fund,Pia Voltz,"$83,000.00",6-12 months of salary & set-up costs for a new organisation supporting the alternative protein industry with its talent bottleneck
2022,EA Animal Welfare Fund,Animal Advocacy Careers,"$80,000.00",Funding for a 3 month FTE fundraising work placement for 8 fundraising professionals to be placed in Effective Animal Advocacy organisations
2022,EA Animal Welfare Fund,Aquatic Life Institute,"$80,000.00",Build capacity and strengthen the effectiveness for the Aquatic Animal Alliance’s current and future work
2022,EA Animal Welfare Fund,Aquatic Life Institute,"$80,000.00",Salaries for existing positions and to fund a new position
2022,EA Animal Welfare Fund,Aquatic Life Institute,"$80,000.00",Build capacity and a knowledge base for the Aquatic Animal Alliance’s future corporate work
2022,EA Animal Welfare Fund,Legal Impact for Chickens,"$76,000.00","Growing the new litigation nonprofit, Legal Impact for Chickens (LIC), to make factory-farm cruelty a liability"
2022,EA Animal Welfare Fund,Animal Advocacy Careers,"$75,000.00",Funding to cover ~25% of annual budget for existing staff salaries and scaling one of our most cost-effective programmes
2022,EA Animal Welfare Fund,Animal welfare competence center for Africa,"$75,000.00",1-year operational costs for government outreach to stop or slow the growth of industrial animal agriculture in Uganda
2022,EA Animal Welfare Fund,Humánny pokrok,"$75,000.00",Capacity building for animal advocacy in Slovakia and carp welfare campaign expansion
2022,EA Animal Welfare Fund,The Humane League UK (THL UK),"$70,000.00","1 year salary x 2 roles: actions for farmed fish, caged hens & broiler chicken welfare'"
2022,EA Animal Welfare Fund,Sentient Media,"$66,000.00",12-month project providing digital marketing/training/content production to an EAA-aligned high-impact welfare group
2022,EA Animal Welfare Fund,Sentient Media,"$66,000.00",12-month project providing training for farmed animal advocate writers in neglected geographies and groups
2022,EA Animal Welfare Fund,Animal Advocacy Africa,"$66,000.00",6-month salary to help African animal advocacy organisations with fundraising and to pilot this intervention in Asia
2022,EA Animal Welfare Fund,Rethink Priorities,"$64,000.00",Empirically determine diets for farmed adult Black Soldier Flies that maximize welfare and guide industry best practices
2022,EA Animal Welfare Fund,Eurogroup for Animals,"$63,000.00",Developing a long term plan for Europe’s animal advocacy movement to counter the growth of insect farming
2022,EA Animal Welfare Fund,(Anonymous),"$63,000.00",Launching Aquatic Animal Welfare movement in Asia
2022,EA Animal Welfare Fund,Shannon Campion,"$63,000.00",Funding to advise the AR movement on advocacy and develop a plan to build greater political power
2022,EA Animal Welfare Fund,Kate Verdalyn Lupango,"$59,000.00","Strengthening the farm animal advocacy in the Philippines by building community, capacity, and relationships"
2022,EA Animal Welfare Fund,Crustacean Compassion,"$59,000.00",Grant for a policy expert to deliver public affairs campaigns for decapod crustacean protections
2022,Animal Charity Evaluators,Çiftlik Hayvanlarını Koruma Derneği,"$57,088.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Compassion in World Farming USA,"$57,088.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Dansk Vegetarisk Forening,"$57,088.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Dharma Voices for Animals,"$57,088.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Federation of Indian Protection Organisations,"$57,088.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Fish Welfare Initiative,"$57,088.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Material Innovation Initiative,"$57,088.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Mercy For Animals,"$57,088.00",Recommended Charity Fund
2022,Animal Charity Evaluators,New Harvest,"$57,088.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Sinergia Animal,"$57,088.00",Recommended Charity Fund
2022,Animal Charity Evaluators,xiaobuVEGAN,"$57,088.00",Recommended Charity Fund
2022,EA Animal Welfare Fund,The Animal Law Foundation,"$54,000.00",Cost for legal charity to research neglected areas of animal law and bring high impact legal actions
2022,Open Philanthropy,Breakthrough Institute,"$50,000.00",Breakthrough Institute — Research on Plant-Based Meat Consumption
2022,EA Animal Welfare Fund,Fórum Nacional de Proteção e Defesa Animal,"$50,000.00",Animal Welfare in Public purchases and Legal requirements
2022,EA Animal Welfare Fund,Healthier Hens,"$50,000.00",Healthier Hens' operations towards dietary interventions to improve layer hen welfare via keel bone fracture reduction
2022,EA Animal Welfare Fund,Australian Alliance for Animals,"$50,000.00",1-year funding for a new organisation to unite the Australian animal protection sector to increase its political influence
2022,EA Animal Welfare Fund,Sống Thuần Chay (STC),"$50,000.00",Operational expenses to hire a corporate outreach manager and support staff for our vegan advocacy campaigns
2022,EA Animal Welfare Fund,Dyrenes Alliance,"$50,000.00",12-month salary to set up a new campaign focused on fish in addition to funding advertisements and printed materials
2022,Animal Charity Evaluators,Animal Advocacy Africa,"$50,000.00",Movement Grants
2022,Animal Charity Evaluators,Catalyst co. Ltd.,"$50,000.00",Movement Grants
2022,Animal Charity Evaluators,TransfarmAg LLC,"$48,000.00",Movement Grants
2022,EA Animal Welfare Fund,(Anonymous),"$46,000.00",PT salary for building FAW/AP research organisation and supporting FAW/AP research and community building in Asia
2022,EA Animal Welfare Fund,Shrimp Welfare Project (a project of Charity Entrepreneurship operating through a fiscal sponsorship with Players Philanthropy Fund),"$45,000.00",General support to work with farmers and the rest of the supply chain in India and Vietnam to improve farmed shrimp welfare
2022,Animal Charity Evaluators,Insect Welfare Project,"$45,000.00",Movement Grants
2022,Animal Charity Evaluators,Samayu,"$45,000.00",Movement Grants
2022,Open Philanthropy,Faunalytics,"$44,200.00",Faunalytics — KPI Dashboards for Farm Animal Welfare
2022,Animal Charity Evaluators,Cellular Agriculture Australia Ltd,"$44,000.00",Movement Grants
2022,EA Animal Welfare Fund,Humánny pokrok,"$43,000.00",Capacity building and community engagement in Slovak animal advocacy movement
2022,Open Philanthropy,Rethink Priorities,"$40,000.00",Rethink Priorities — Dimensions of Welfare Workshop
2022,EA Animal Welfare Fund,(Anonymous),"$40,000.00",6-month salary to support video creation on EA and the welfare of farmed and wild animals
2022,EA Animal Welfare Fund,Effective Altruism Singapore,"$40,000.00",A 3-day farmed animal advocacy retreat for those working in Southeast Asia to connect and strengthen the community
2022,EA Animal Welfare Fund,Campaigns and Activism for Animals in the Industry (CAAI),"$40,000.00",12-month salaries and expenses to advocate for two bans in Bulgaria: fur farming and force-feeding of waterfowl
2022,EA Animal Welfare Fund,One Health and Development Initiative (OHDI),"$40,000.00","Promoting awareness, knowledge, and capacity building of Nigerian fish farmers on implementing fish welfare practices"
2022,EA Animal Welfare Fund,The Philippine Animal Welfare Society (PAWS),"$40,000.00",Setting up of 6-month face-to-face and online seminars on more humane farming methods for pigs and chicken
2022,EA Animal Welfare Fund,Healthier Hens,"$40,000.00",Research to test the efficacy of two promising interventions to reduce the rate of keel bone fractures in laying hens
2022,EA Animal Welfare Fund,Cameron Semper,"$40,000.00",Research funding to explore biosynthetic alternatives for the production of carminic acid and kermesic acid.
2022,Animal Charity Evaluators,Humánny Pokrok,"$40,000.00",Movement Grants
2022,Animal Charity Evaluators,Middle East Vegan Society,"$40,000.00",Movement Grants
2022,Animal Charity Evaluators,Shrimp Welfare Project,"$40,000.00",Movement Grants
2022,EA Animal Welfare Fund,Igualdad Animal Mexico,"$39,000.00",Research about aquaculture in Mexico and fish welfare to work on legislation to mandate stunning prior to slaughter
2022,Open Philanthropy,Constitutional Accountability Center,"$37,123.00",Constitutional Accountability Center — California Prop 12 Legal Defense
2022,EA Animal Welfare Fund,Animal Advocacy Careers,"$36,000.00",Three months of funding for staff salaries and general operating costs while we separate from our fiscal sponsor
2022,EA Animal Welfare Fund,Arba,"$35,000.00",Salaries for 2 full time economists and development of three surveys for one year
2022,EA Animal Welfare Fund,DC Voters for Animals,"$35,000.00",Annual salary for DC Voters for Animals ED to pass animal protection laws in Washington D.C.
2022,Animal Charity Evaluators,Brigada Animal México,"$35,000.00",Movement Grants
2022,Animal Charity Evaluators,Fundación Derecho y Defensa Animal,"$35,000.00",Movement Grants
2022,Animal Charity Evaluators,One Health and Development Initiative,"$35,000.00",Movement Grants
2022,EA Animal Welfare Fund,Kate Verdalyn Lupango,"$33,000.00",Additional 1.22  FTE funding to increase our community building work and support FAW projects in the Philippines
2022,Open Philanthropy,,"$32,610.00",Pru Elliott — Corporate Campaign Coaching
2022,Animal Charity Evaluators,Anima International,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Compassion in World Farming USA,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Dharma Voices for Animals,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Essere Animali,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Material Innovation Initiative,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Mercy For Animals,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,New Harvest,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Sinergia Animal,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Standout Charity working in China1,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,Vegetarianos Hoy,"$31,351.00",Recommended Charity Fund
2022,Animal Charity Evaluators,xiaobuVEGAN,"$31,351.00",Recommended Charity Fund
2022,EA Animal Welfare Fund,Utunzi Animal Welfare Organization,"$31,000.00",A comprehensive cage-free farming educational and awareness project targeting layer hen farmers in four counties in Kenya
2022,Open Philanthropy,,"$30,000.00",Dami Animashaun — California Prop 12 Legal Defense
2022,EA Animal Welfare Fund,Sentient (Nonprofit Organization),"$30,000.00","Spread global use of disposable cellular cameras put on animals on the way to slaughter, enabling a personal narrative"
2022,EA Animal Welfare Fund,(Anonymous),"$30,000.00",12-month salary for the director of an animal welfare organisation and contingency costs
2022,EA Animal Welfare Fund,Institute of Animal Law of Asia,"$30,000.00",1-year fees and salary for an educational center for research & info on the farmed animal law & policy issues in Asia
2022,Animal Charity Evaluators,Agriculture Cellulaire France,"$30,000.00",Movement Grants
2022,Animal Charity Evaluators,Amis de l’Afrique Francophone – Bénin,"$30,000.00",Movement Grants
2022,Animal Charity Evaluators,AnimaNaturalis,"$30,000.00",Movement Grants
2022,Animal Charity Evaluators,Black Veg Society,"$30,000.00",Movement Grants
2022,EA Animal Welfare Fund,The European Institute for Animal Law & Policy,"$29,000.00","3-month salaries for a senior legal and policy researcher, and an intern to deliver two reports"
2022,Animal Charity Evaluators,Dansk Vegetarisk Forening,"$29,000.00",Movement Grants
2022,Animal Charity Evaluators,World Day for the End of Fishing,"$29,000.00",Movement Grants
2022,EA Animal Welfare Fund,"FAADA, Foundation for Advice and Action in the Defence of Animals","$27,000.00",Improved welfare standards for crustaceans in supermarkets (where kept alive) and restaurants (where boiled alive)
2022,EA Animal Welfare Fund,We Animals Media (WAM),"$26,000.00","Funding to cover photojournalism work in Africa, Asia and/or Latin America throughout 2022-2023."
2022,EA Animal Welfare Fund,Animal Advocates International,"$25,000.00","Raising Animal Welfare Standards in Poultry Farming Industry Through Campaigns, Conferences, Trainings & Leg"
2022,Animal Charity Evaluators,Sentience,"$25,000.00",Movement Grants
2022,Animal Charity Evaluators,Viešoji įstaiga “Gyvi gali”,"$25,000.00",Movement Grants
2022,EA Animal Welfare Fund,Tanzania Animal Welfare Society (TAWESO),"$22,000.00",Additional costs to conduct a survey on farmed fish welfare in Tanzania aiming at inclusion in the fisheries policy
2022,EA Animal Welfare Fund,Vegan Network Uganda trading as Uganda Vegan Society,"$20,000.00",Advocacy to reduce cruelty towards battery caged hens through promotion of plant based alternatives
2022,EA Animal Welfare Fund,Animal Welfare League,"$20,000.00",12-month budget support to a new org for a nationwide cage-free campaign to end abuse of 25 million chickens in cages
2022,EA Animal Welfare Fund,George Stiffman,"$20,000.00",3-month salaries for a restaurant partnership to validate “cuisine expansion” as a new FAW intervention
2022,EA Animal Welfare Fund,Education for African Animals Welfare (EAAW),"$20,000.00","In this second phase, we shall strengthen cage-free information packaging and sharing with the general public"
2022,Animal Charity Evaluators,Convergence Animaux Politique,"$20,000.00",Movement Grants
2022,Animal Charity Evaluators,Dzīvnieku brīvība,"$20,000.00",Movement Grants
2022,Animal Charity Evaluators,Rethink Your Food Inc,"$20,000.00",Movement Grants
2022,Animal Charity Evaluators,The Modern Agriculture Foundation,"$20,000.00",Movement Grants
2022,EA Animal Welfare Fund,Nature Imvelo Trust,"$17,000.00",A 6-month to one-year campaign on the effects of battery cages on laying hens and egg production
2022,Open Philanthropy,Commonwealth Veterinary Association,"$15,000.00",Commonwealth Veterinary Association — Animal Welfare Training (2022)
2022,EA Animal Welfare Fund,George Stiffman,"$15,000.00","4-month salary to create a roadmap to grow the US tofu market, tofu community build, and raise tofu venture funding"
2022,EA Animal Welfare Fund,(Anonymous),"$15,000.00",Raise awareness of farm animal welfare and law in Asia
2022,EA Animal Welfare Fund,Animal Ask,"$15,000.00",Completing focused research to assist the farmed animal welfare movement with the prioritisation of their campaigns
2022,Animal Charity Evaluators,Asociatia FREE,"$15,000.00",Movement Grants
2022,Animal Charity Evaluators,Quality Life without Borders,"$14,000.00",Movement Grants
2022,Animal Charity Evaluators,Sibanye Animal Welfare and Conservancy Trust,"$13,500.00",Movement Grants
2022,EA Animal Welfare Fund,Utunzi Animal Welfare Organization,"$13,000.00",A comprehensive cage free training and sensitization program for beneficiaroes of our ongoing cage free proje
2022,EA Animal Welfare Fund,George Stiffman,"$11,000.00",4-month salary to create infrastructure and raise funding for a tofu import business
2022,EA Animal Welfare Fund,Vegan Hacktivists,"$11,000.00",A study to assess tech and data in the animal protection movement and present opportunities and recommendations
2022,EA Animal Welfare Fund,Animal Friends Jogja (Perkumpulan Sahabat Satwa Jogja),"$10,000.00",A 12 month salary and expenses for a government advocacy coordinator to continue work on Cage Free/FA legislative change
2022,EA Animal Welfare Fund,Education for African Animal Welfare,"$10,000.00",The workshop will impact local and international journalists in Tanzania with cage free movement information
2022,EA Animal Welfare Fund,Animal Advocates International,"$10,000.00","Raising animal welfare standards in poultry farming industry through campaigns, conferences, trainings, and legislation"
2022,Animal Charity Evaluators,"DC Voters for Animals, Inc","$10,000.00",Movement Grants
2022,Animal Charity Evaluators,Eduquons Autrement,"$10,000.00",Movement Grants
2022,EA Animal Welfare Fund,Asher Soryl,"$9,000.00",6-8 months of funding to complete my doctoral dissertation & publish academic papers based based on its chapters
2022,Animal Charity Evaluators,Vegan Derneği Turkiye,"$8,500.00",Movement Grants
2022,Animal Charity Evaluators,Césama,"$8,000.00",Movement Grants
2022,Animal Charity Evaluators,Viral Vegans,"$8,000.00",Movement Grants
2022,Animal Charity Evaluators,Nurture Imvelo Trust,"$7,000.00",Movement Grants
2022,Animal Charity Evaluators,NALSAR University of Law,"$6,000.00",Movement Grants
2022,EA Animal Welfare Fund,Faunalytics,"$5,000.00","Funds to produce new resources on neglected species, including a Faunalytics Fundamental infographic on Invertebrates"
2022,EA Animal Welfare Fund,The Modern Agriculture Foundation,"$5,000.00","2nd cohort of alt. proteins accelerator to speed up the success of 5-7 startups, and run a cost-effectiveness analysis"
2022,Animal Charity Evaluators,Shangano Arts Trust,"$5,000.00",Movement Grants
2021,Open Philanthropy,The Good Food Institute,"$10,000,000.00",The Good Food Institute — General Support (2021)
2021,Open Philanthropy,The Humane League,"$7,000,000.00",The Humane League — General Support (2021)
2021,Open Philanthropy,Compassion in World Farming,"$5,055,105.00",Compassion in World Farming — Fish Welfare and Efforts to End Cages (2021)
2021,Open Philanthropy,Plant Based Foods Association,"$3,500,000.00",Plant Based Foods Association — General Support (2021)
2021,Open Philanthropy,Wild Animal Initiative,"$3,500,000.00",Wild Animal Initiative — Animal Welfare Research
2021,Open Philanthropy,Albert Schweitzer Foundation,"$3,000,000.00",Albert Schweitzer Foundation — General Support (2021)
2021,Open Philanthropy,Foundation for Food and Agriculture Research,"$3,000,000.00",Food and Agriculture Research — Keel Bone Damage Reduction
2021,Open Philanthropy,Animal Equality,"$3,000,000.00",Animal Equality — Cage-Free and Broiler Welfare (2021)
2021,Open Philanthropy,Mercy For Animals,"$3,000,000.00",Mercy for Animals — Corporate Campaigns (2021)
2021,Open Philanthropy,fair-fish international association,"$2,672,830.00",fair-fish international association — Wild-Caught Fish Welfare Standards
2021,Open Philanthropy,Rethink Priorities,"$2,000,000.00",Rethink Priorities — Farm Animal Welfare Research (2021)
2021,Open Philanthropy,Environment & Animal Society of Taiwan,"$1,345,000.00",Environment & Animal Society of Taiwan — Farm Animal Welfare in Taiwan (2021)
2021,Open Philanthropy,Wakker Dier,"$1,215,000.00",Wakker Dier — Farm Animal Welfare Litigation
2021,Open Philanthropy,Eurogroup for Animals,"$1,190,000.00",Eurogroup for Animals — Fish Welfare (2021)
2021,Open Philanthropy,"University of California, Berkeley","$1,146,201.00",UC Berkeley — Alternative Meats Lab (2021)
2021,Open Philanthropy,Equalia,"$817,000.00",Equalia — General Support
2021,Open Philanthropy,Crustacean Compassion,"$786,830.00",Crustacean Compassion — General Support
2021,Open Philanthropy,Farmed Animal Funders,"$750,000.00",Farmed Animal Funders — Regranting for Farm Animal Welfare in Europe
2021,Open Philanthropy,Animal Charity Evaluators,"$700,000.00",Animal Charity Evaluators — General Support (2021)
2021,Open Philanthropy,Humane Society International,"$650,000.00",Humane Society International — Farm Animal Welfare in Southeast Asia and Latin America
2021,Open Philanthropy,Dyrevernalliansen (The Norwegian Animal Protection Alliance),"$568,893.00",Dyrevernalliansen — Wild-Caught Fish Welfare Research
2021,Open Philanthropy,Compassion in World Farming USA,"$550,000.00",Compassion in World Farming USA — General Support (2021)
2021,Open Philanthropy,Wageningen University & Research,"$519,434.00",Wageningen University & Research — Wild-Caught Fish Welfare
2021,Open Philanthropy,Changing Markets Foundation,"$500,000.00",Changing Markets Foundation — Fish Welfare Retail Campaigns
2021,Open Philanthropy,The Guardian,"$450,000.00",theguardian.org – Journalism on Factory Farming and Animal Cruelty (2021)
2021,Open Philanthropy,Animal Kingdom Foundation,"$365,700.00",Animal Kingdom Foundation — Layer Hen Welfare in the Philippines (2021)
2021,Open Philanthropy,"Lead for Farmed Animals,Rethink Charity","$352,700.00",Lead for Farmed Animals — Movement-Building Workshop
2021,Open Philanthropy,Rethink Priorities,"$315,500.00",Rethink Priorities — Moral Patienthood and Moral Weight Research
2021,EA Animal Welfare Fund,Rethink Priorities,"$309,100.00",Support for four researchers (including one new hire) on wild animal and invertebrate welfare for an entire year
2021,Open Philanthropy,Dyrevernalliansen (The Norwegian Animal Protection Alliance),"$300,000.00",Dyrevernalliansen — Fish Welfare (2021)
2021,EA Animal Welfare Fund,Wild Animal Initiative,"$300,000.00",47% of 2021 payroll costs and operating expenses to build an academic field dedicated to wild animal welfare
2021,Open Philanthropy,Sinergia Animal,"$291,500.00",Sinergia Animal — Animal Welfare in Southeast Asia (2021)
2021,Open Philanthropy,Animal Protection Denmark,"$283,000.00",Animal Protection Denmark — Wild-Caught Fish Welfare
2021,Animal Charity Evaluators,Faunalytics,"$269,293.60",Recommended Charity Fund
2021,Animal Charity Evaluators,The Humane League,"$269,293.60",Recommended Charity Fund
2021,Animal Charity Evaluators,Wild Animal Initiative,"$269,293.60",Recommended Charity Fund
2021,Open Philanthropy,"Animal Welfare Awareness, Research, and Education","$267,723.00","Animal Welfare Awareness, Research, and Education — Pig Welfare Reforms"
2021,Open Philanthropy,Charity Entrepreneurship,"$247,500.00",Charity Entrepreneurship — Development of New Animal Welfare Charities (2021)
2021,Open Philanthropy,Institute of Agrifood Research and Technology,"$237,043.00",Institute of Agrifood Research and Technology — Fish Welfare Certification Standards
2021,Open Philanthropy,Vegan Women Summit,"$200,000.00",Vegan Women Summit — General Support (2021)
2021,Open Philanthropy,Reducetarian Foundation,"$200,000.00",Reducetarian Foundation — Reducetarian Fellowship
2021,EA Animal Welfare Fund,Equalia,"$190,000.00",12-month salaries for three new positions and a contract extension to increase the capacity of Equalia
2021,EA Animal Welfare Fund,Sinergia Animal,"$165,000.00","Support for institutional meat reduction, cage-free egg campaigns, and investigations"
